"DateTime";"Stock Price History"
"2000-05-22 00:00:00";0,2081
"2000-05-23 00:00:00";0,2064
"2000-05-24 00:00:00";0,2037
"2000-05-25 00:00:00";0,2009
"2000-05-26 00:00:00";0,2018
"2000-05-30 00:00:00";0,2102
"2000-05-31 00:00:00";0,2158
"2000-06-01 00:00:00";0,2244
"2000-06-02 00:00:00";0,2517
"2000-06-05 00:00:00";0,2571
"2000-06-06 00:00:00";0,2443
"2000-06-07 00:00:00";0,2334
"2000-06-08 00:00:00";0,2351
"2000-06-09 00:00:00";0,2418
"2000-06-12 00:00:00";0,2355
"2000-06-13 00:00:00";0,2428
"2000-06-14 00:00:00";0,2426
"2000-06-15 00:00:00";0,2489
"2000-06-16 00:00:00";0,2866
"2000-06-19 00:00:00";0,3043
"2000-06-20 00:00:00";0,3003
"2000-06-21 00:00:00";0,3307
"2000-06-22 00:00:00";0,3128
"2000-06-23 00:00:00";0,2833
"2000-06-26 00:00:00";0,3174
"2000-06-27 00:00:00";0,2726
"2000-06-28 00:00:00";0,2621
"2000-06-29 00:00:00";0,2243
"2000-06-30 00:00:00";0,2432
"2000-07-03 00:00:00";0,2339
"2000-07-05 00:00:00";0,2087
"2000-07-06 00:00:00";0,2214
"2000-07-07 00:00:00";0,2226
"2000-07-10 00:00:00";0,2341
"2000-07-11 00:00:00";0,253
"2000-07-12 00:00:00";0,2602
"2000-07-13 00:00:00";0,2846
"2000-07-14 00:00:00";0,2824
"2000-07-17 00:00:00";0,2793
"2000-07-18 00:00:00";0,2738
"2000-07-19 00:00:00";0,2563
"2000-07-20 00:00:00";0,2633
"2000-07-21 00:00:00";0,2666
"2000-07-24 00:00:00";0,2382
"2000-07-25 00:00:00";0,2348
"2000-07-26 00:00:00";0,2173
"2000-07-27 00:00:00";0,2018
"2000-07-28 00:00:00";0,2066
"2000-07-31 00:00:00";0,2296
"2000-08-01 00:00:00";0,225
"2000-08-02 00:00:00";0,2296
"2000-08-03 00:00:00";0,2396
"2000-08-04 00:00:00";0,2439
"2000-08-07 00:00:00";0,263
"2000-08-08 00:00:00";0,2573
"2000-08-09 00:00:00";0,2496
"2000-08-10 00:00:00";0,2525
"2000-08-11 00:00:00";0,2465
"2000-08-14 00:00:00";0,2489
"2000-08-15 00:00:00";0,2724
"2000-08-16 00:00:00";0,2793
"2000-08-17 00:00:00";0,2846
"2000-08-18 00:00:00";0,2946
"2000-08-21 00:00:00";0,2991
"2000-08-22 00:00:00";0,2709
"2000-08-23 00:00:00";0,2867
"2000-08-24 00:00:00";0,2944
"2000-08-25 00:00:00";0,2869
"2000-08-28 00:00:00";0,2984
"2000-08-29 00:00:00";0,2977
"2000-08-30 00:00:00";0,3003
"2000-08-31 00:00:00";0,3037
